temp,time,n.risk,n.event,survival,st.error,lower.CI,upper.CI
16,0,60,0,1,0,1,1
16,2,60,1,0.9833,0.0165,0.9515,1
16,3,59,1,0.9667,0.0232,0.9223,1
16,4,58,1,0.95,0.0281,0.8964,1
16,7,57,1,0.9333,0.0322,0.8723,0.999
16,8,56,1,0.9167,0.0357,0.8493,0.989
16,13,55,1,0.9,0.0387,0.8272,0.979
16,14,54,1,0.8833,0.0414,0.8057,0.968
16,15,53,1,0.8667,0.0439,0.7848,0.957
16,17,52,1,0.85,0.0461,0.7643,0.945
16,18,51,1,0.8333,0.0481,0.7442,0.933
16,19,50,1,0.8167,0.05,0.7244,0.921
16,22,49,1,0.8,0.0516,0.7049,0.908
16,23,48,1,0.7833,0.0532,0.6857,0.895
16,25,47,2,0.75,0.0559,0.6481,0.868
16,26,45,1,0.7333,0.0571,0.6296,0.854
16,27,44,3,0.6833,0.0601,0.5752,0.812
16,28,41,1,0.6667,0.0609,0.5574,0.797
16,30,40,3,0.6167,0.0628,0.5051,0.753
16,31,37,1,0.6,0.0632,0.488,0.738
16,33,36,2,0.5667,0.064,0.4542,0.707
16,34,34,1,0.55,0.0642,0.4375,0.691
16,36,33,2,0.5167,0.0645,0.4045,0.66
16,37,31,1,0.5,0.0645,0.3882,0.644
16,38,30,3,0.45,0.0642,0.3402,0.595
16,39,27,1,0.4333,0.064,0.3245,0.579
16,42,26,1,0.4167,0.0636,0.3089,0.562
16,45,25,1,0.4,0.0632,0.2934,0.545
16,46,24,2,0.3667,0.0622,0.2629,0.511
16,47,22,1,0.35,0.0616,0.2479,0.494
16,48,21,2,0.3167,0.0601,0.2184,0.459
16,53,18,1,0.2991,0.0592,0.2029,0.441
16,55,17,3,0.2463,0.0561,0.1576,0.385
16,57,14,3,0.1935,0.0517,0.1147,0.327
16,58,11,1,0.1759,0.0499,0.1009,0.307
16,60,10,1,0.1583,0.0479,0.0875,0.286
16,62,9,1,0.1407,0.0457,0.0745,0.266
16,64,8,1,0.1231,0.0432,0.0619,0.245
16,65,7,1,0.1056,0.0405,0.0498,0.224
16,67,6,1,0.088,0.0374,0.0383,0.202
16,68,5,1,0.0704,0.0338,0.0275,0.18
16,71,4,1,0.0528,0.0296,0.0176,0.158
16,73,1,1,0,0,0,0
20,0,60,0,1,0,1,1
20,8,60,1,0.9833,0.0165,0.95147,1
20,9,59,4,0.9167,0.0357,0.84933,0.989
20,12,55,1,0.9,0.0387,0.8272,0.979
20,16,54,1,0.8833,0.0414,0.80573,0.968
20,18,53,2,0.85,0.0461,0.76429,0.945
20,19,51,2,0.8167,0.05,0.7244,0.921
20,20,49,2,0.7833,0.0532,0.68573,0.895
20,21,47,1,0.7667,0.0546,0.66678,0.882
20,22,46,2,0.7333,0.0571,0.62956,0.854
20,24,44,1,0.7167,0.0582,0.61125,0.84
20,25,43,1,0.7,0.0592,0.59314,0.826
20,26,41,2,0.6659,0.061,0.55641,0.797
20,27,39,2,0.6317,0.0625,0.5204,0.767
20,28,37,1,0.6146,0.0631,0.50265,0.752
20,29,36,4,0.5463,0.0647,0.43325,0.689
20,30,32,3,0.4951,0.065,0.38279,0.64
20,33,28,2,0.4598,0.065,0.3485,0.607
20,35,26,1,0.4421,0.0649,0.33161,0.589
20,36,25,1,0.4244,0.0646,0.31488,0.572
20,38,24,1,0.4067,0.0643,0.29833,0.554
20,41,23,3,0.3537,0.0628,0.24972,0.501
20,42,20,3,0.3006,0.0604,0.20278,0.446
20,44,17,2,0.2652,0.0582,0.1725,0.408
20,46,15,1,0.2476,0.057,0.15769,0.389
20,47,14,1,0.2299,0.0556,0.14313,0.369
20,55,13,1,0.2122,0.054,0.12881,0.35
20,56,12,2,0.1768,0.0505,0.10105,0.309
20,59,10,3,0.1238,0.0437,0.06201,0.247
20,62,7,2,0.0884,0.0377,0.03836,0.204
20,63,5,1,0.0707,0.034,0.02755,0.182
20,67,4,1,0.053,0.0298,0.01766,0.159
20,70,3,1,0.0354,0.0245,0.00908,0.138
24,0,60,0,1,0,1,1
24,3,60,1,0.9833,0.0165,0.95147,1
24,4,59,1,0.9667,0.0232,0.9223,1
24,5,58,1,0.95,0.0281,0.89642,1
24,6,57,3,0.9,0.0387,0.8272,0.979
24,9,54,1,0.8833,0.0414,0.80573,0.968
24,10,53,1,0.8667,0.0439,0.78478,0.957
24,12,52,1,0.85,0.0461,0.76429,0.945
24,13,51,3,0.8,0.0516,0.70493,0.908
24,16,48,1,0.7833,0.0532,0.68573,0.895
24,17,47,2,0.75,0.0559,0.64806,0.868
24,18,45,2,0.7167,0.0582,0.61125,0.84
24,20,43,1,0.7,0.0592,0.59314,0.826
24,21,41,3,0.6488,0.0618,0.53832,0.782
24,25,37,5,0.5611,0.0647,0.44762,0.703
24,26,32,3,0.5085,0.0654,0.39525,0.654
24,27,29,1,0.491,0.0654,0.37812,0.637
24,28,28,1,0.4734,0.0654,0.36115,0.621
24,29,27,1,0.4559,0.0653,0.34434,0.604
24,30,26,1,0.4384,0.0651,0.32769,0.586
24,31,25,1,0.4208,0.0648,0.3112,0.569
24,32,24,1,0.4033,0.0644,0.29488,0.552
24,35,23,2,0.3682,0.0634,0.26274,0.516
24,39,21,1,0.3507,0.0628,0.24692,0.498
24,40,20,1,0.3332,0.062,0.23129,0.48
24,41,19,3,0.2806,0.0592,0.18551,0.424
24,43,16,1,0.263,0.058,0.17066,0.405
24,44,15,1,0.2455,0.0568,0.15603,0.386
24,45,14,1,0.2279,0.0554,0.14163,0.367
24,46,13,2,0.1929,0.0521,0.1136,0.327
24,47,11,1,0.1753,0.0502,0.10002,0.307
24,51,10,1,0.1578,0.0482,0.08676,0.287
24,53,9,1,0.1403,0.0459,0.07387,0.266
24,56,8,1,0.1227,0.0434,0.0614,0.245
24,57,7,2,0.0877,0.0374,0.03799,0.202
24,58,5,1,0.0701,0.0338,0.02729,0.18
24,62,4,1,0.0526,0.0295,0.0175,0.158
24,63,3,1,0.0351,0.0243,0.00899,0.137
24,65,2,1,0.0175,0.0174,0.00251,0.122
24,67,1,1,0,0,0,0
28,0,60,0,1,0,1,1
28,3,60,1,0.9833,0.0165,0.95147,1
28,4,59,1,0.9667,0.0232,0.9223,1
28,5,58,1,0.95,0.0281,0.89642,1
28,6,57,1,0.9333,0.0322,0.8723,0.999
28,7,56,1,0.9167,0.0357,0.84933,0.989
28,8,55,2,0.8833,0.0414,0.80573,0.968
28,9,53,2,0.85,0.0461,0.76429,0.945
28,10,51,3,0.8,0.0516,0.70493,0.908
28,11,48,3,0.75,0.0559,0.64806,0.868
28,12,45,1,0.7333,0.0571,0.62956,0.854
28,13,44,4,0.6667,0.0609,0.55745,0.797
28,14,40,1,0.65,0.0616,0.53985,0.783
28,16,39,3,0.6,0.0632,0.48801,0.738
28,17,36,1,0.5833,0.0636,0.47102,0.722
28,18,35,2,0.55,0.0642,0.43749,0.691
28,20,33,2,0.5167,0.0645,0.40451,0.66
28,23,31,2,0.4833,0.0645,0.37208,0.628
28,25,29,3,0.4333,0.064,0.32446,0.579
28,26,26,4,0.3667,0.0622,0.26293,0.511
28,27,22,3,0.3167,0.0601,0.21836,0.459
28,28,19,3,0.2667,0.0571,0.17528,0.406
28,29,16,1,0.25,0.0559,0.16129,0.388
28,30,15,2,0.2167,0.0532,0.13392,0.351
28,31,13,1,0.2,0.0516,0.12057,0.332
28,34,12,2,0.1667,0.0481,0.09465,0.293
28,38,10,2,0.1333,0.0439,0.06995,0.254
28,39,8,1,0.1167,0.0414,0.05815,0.234
28,40,7,2,0.0833,0.0357,0.036,0.193
28,42,5,3,0.0333,0.0232,0.00853,0.13
28,44,2,1,0.0167,0.0165,0.00239,0.116
28,45,1,1,0,0,0,0
32,0,60,0,1,0,1,1
32,1,60,1,0.9833,0.0165,0.95147,1
32,2,59,1,0.9667,0.0232,0.9223,1
32,3,58,4,0.9,0.0387,0.8272,0.979
32,4,54,1,0.8833,0.0414,0.80573,0.968
32,5,53,2,0.85,0.0461,0.76429,0.945
32,6,51,1,0.8333,0.0481,0.74417,0.933
32,7,50,4,0.7667,0.0546,0.66678,0.882
32,8,46,6,0.6667,0.0609,0.55745,0.797
32,9,40,3,0.6167,0.0628,0.50514,0.753
32,10,37,4,0.55,0.0642,0.43749,0.691
32,11,33,4,0.4833,0.0645,0.37208,0.628
32,12,29,5,0.4,0.0632,0.29341,0.545
32,14,24,1,0.3833,0.0628,0.2781,0.528
32,15,23,3,0.3333,0.0609,0.23306,0.477
32,16,20,2,0.3,0.0592,0.20383,0.442
32,17,17,1,0.2824,0.0583,0.18844,0.423
32,18,16,3,0.2294,0.0548,0.14369,0.366
32,19,13,1,0.2118,0.0533,0.12928,0.347
32,20,12,2,0.1765,0.0499,0.10135,0.307
32,21,10,4,0.1059,0.0406,0.04998,0.224
32,22,6,1,0.0882,0.0374,0.03841,0.203
32,23,5,1,0.0706,0.0339,0.02757,0.181
32,25,4,3,0.0176,0.0175,0.00254,0.123
32,27,1,1,0,0,0,0
